CF_max,CF_mean,CF_sd,CF% QoC_max,CF% QoC_mean,CF% QoC_sd,CF% QoT_max,CF% QoT_mean,CF% QoT_sd,GS_max,GS_mean,GS_sd,GS/60_max,GS/60_mean,GS/60_sd,iCF/60_max,iCF/60_mean,iCF/60_sd,ixGF/60_max,ixGF/60_mean,ixGF/60_sd,P1_max,P1_mean,P1_sd,P1/60_max,P1/60_mean,P1/60_sd,Rel CF%_max,Rel CF%_mean,Rel CF%_sd,TOI% QoC_max,TOI% QoC_mean,TOI% QoC_sd,TOI% QoT_max,TOI% QoT_mean,TOI% QoT_sd,ZSR_max,ZSR_mean,ZSR_sd
59,-20.129464285714334,7.188136907280125,2.4399999999999977,0.16415178571428157,0.12258388206302923,0.21999999999999886,0.23482142857142918,0.10694163887868902,3.990000000000002,-3.0401339285714286,-1.6877875629778583,0.4099999999999997,0.28879464285714285,-1.3894085959256972,4.879999999999999,-0.7023660714285711,0.8230755239460201,0.05999999999999994,-0.03477678571428572,-0.01782723242244655,-4,-1.1875,-2.0274967950986937,-0.6600000000000001,-0.02361607142857136,-0.1564031261897637,5.89,-0.6050000000000001,2.0044416494283457,0.26000000000000156,-0.007276785714285694,0.1117735213079688,1.1999999999999993,0.465089285714285,0.3559503083615243,-23.209999999999994,0.4571875000000034,-4.161814085483899
-120,-83.95402298850581,20.49887146431729,-2.0799999999999983,-0.13657726692209593,-0.2860107944466255,0.060000000000002274,-0.8336781609195398,0.08828559608167819,1.4600000000000009,-3.3249042145593855,1.7322312725178364,0.009999999999999787,-0.3162068965517242,0.2676021748381877,4.210000000000001,-0.8764112388250318,1.9242531254825566,0.3799999999999999,0.017369093231162203,0.08967813915044856,5,-0.4163473818646217,2.0270410190921666,0.19000000000000017,-0.015887611749680675,0.0682476571722741,5.199999999999999,0.012771392081736943,2.2760869081434096,-0.31999999999999673,-0.07347381864623159,-0.07903257730951685,0.41999999999999815,0.12449553001276925,0.3651166645199193,5.109999999999999,-1.5926309067688393,4.6017177393581346
85,-21.75929054054052,73.84545830944444,0.3299999999999983,-0.6513260135135184,0.04326738297085897,3.6600000000000037,1.7142989864864902,1.3095559894001334,25.85,2.6148564189189205,8.16210551033505,3.57,0.29754222972972966,0.5845606294921151,5.120000000000001,0.6905574324324331,0.6861676674938386,0.19000000000000017,-0.026663851351351353,0.03813199727488081,19,-0.3902027027027035,3.708308566217495,0.81,0.06580236486486479,0.22956051763254415,4.959999999999999,-1.9488006756756757,2.6840306036210153,0.3099999999999987,0.029189189189189335,-0.2346451346738796,1.1699999999999982,-0.5717989864864848,0.49110618349966284,33.33,2.597364864864865,3.191260727063776
156,-11.598143236074293,67.86010202984323,-0.730000000000004,-0.25749336870026696,-0.014587233150093082,-0.6799999999999997,-1.3727718832891256,0.1647229267360888,7.280000000000001,-1.0083156498673738,3.815674881930855,-1.6199999999999997,-0.5417241379310345,0.2904233242569738,-1.3900000000000006,-1.2336074270557038,-0.45604577410088387,0.07999999999999996,-0.022493368700265248,0.0258906954314152,5,-1.6830238726790459,0.6599153838942939,-1.81,-0.28452254641909824,-0.22589296294744043,-2.8999999999999995,-3.194270557029178,3.0512304119477767,-0.16999999999999815,-0.056657824933687095,-0.03491231609561063,0.10000000000000142,0.10704244031830257,7.35443905643729e-4,-0.01999999999999602,-2.021591511936343,1.0033806618557195
319,127.8349753694581,14.05461771029303,2.1499999999999986,0.2544211822660074,0.30944121690036824,-0.990000000000002,-0.781083743842359,0.19250951206206268,-6.829999999999998,2.8202216748768443,-0.13974531429406056,0.06999999999999984,0.259064039408867,-1.3746209611005291,-0.4400000000000013,0.8070197044334968,-1.9007457938826593,-0.13,0.003768472906403919,-0.06474257080985055,-8,2.3793103448275854,-0.8524578863771826,-0.7300000000000002,0.001588669950738919,-0.14255343050114455,-2.55,-1.0550862068965516,-0.45907427738680173,0.3299999999999983,-0.03761083743842519,0.15697659835654454,0.7900000000000027,0.6289039408867012,0.16164912637309103,-29.810000000000002,-0.5705172413793065,-10.866593889737924
-8,-193.05778191985087,-2.3672500246235586,1.0600000000000023,-0.2217893755824818,0.28228653094335104,0.3500000000000014,-1.254203168685926,1.0493954390686178,12.96,-5.233150046598322,2.6888363788059344,3.07,-0.12854613233923584,0.5288410343009886,9.469999999999999,-0.035498602050324735,1.079109799944749,0.3600000000000001,-0.03962721342031683,0.015872536799737436,12,-1.2889095992544277,1.7359302188838441,1.23,0.09900279589934757,0.3098786377269328,12.27,-1.2860205032618826,3.111465751029341,-0.19000000000000128,0.008154706430570258,-0.23079873891756975,1.019999999999996,-0.3954520037278648,0.31909615804335933,39.15,-0.5089282385834082,9.587227738485797
-168,-269.16123019571296,23.803938306134512,-1.0700000000000003,-0.6997204100652397,-0.0025970106311091756,2.950000000000003,0.7861416589002772,1.1329361847259833,18.93,-5.874874184529354,4.328587076697868,3.32,-0.15647716682199442,0.8128448930542272,9.21,-0.4510158434296354,1.8981326950164799,0.56,-0.0058341099720409795,0.06690941202943937,11,-4.082013047530289,1.3426972603212732,1.11,0.009347623485554513,0.22512244447595897,14.899999999999999,-2.238089468779124,5.900101314436176,0.1700000000000017,-0.08391425908667216,0.06330630627162115,0.769999999999996,-0.7271761416589015,0.6011628255370915,42.31,0.910382106244171,11.384749551889145
-280,-95.69462365591392,-72.08165186579151,-0.75,0.17453763440860115,0.24966237349010112,-2.450000000000003,-4.5962258064516135,0.053361117946437275,-18.22,-5.459376344086021,-4.448642942606478,-0.3500000000000001,-0.46372043010752695,0.04555315377070446,3.4299999999999997,-1.9722043010752692,0.15193726081491032,0.15000000000000002,0.020709677419354866,0.03700842932117049,-2,-0.39032258064516157,-0.9912418759274129,-0.09999999999999987,-0.03154838709677421,-0.08937528940879103,-5.32,-0.6815913978494623,-0.8470033917836206,0.3099999999999987,-0.1392365591397855,0.3115194354285422,0,-0.4753548387096771,0.7752777467063674,0,-5.756182795698926,1.9747341172767907
283,37.873357228195914,108.16827456998942,2.9200000000000017,0.058076463560333025,0.6775260342503924,5.130000000000003,3.8848506571087214,1.388045163967592,29.21,8.191015531660694,10.753495883549228,1.0900000000000003,0.46240143369175635,0.2858070395757861,-2.530000000000001,0.91931899641577,-0.7726467829732973,1.0099999999999998,0.0876344086021505,0.11009315316304147,6,1.712066905615293,2.8717206614175357,1.0700000000000003,0.17191158900836323,0.2251395031463903,-1.5199999999999996,-2.0479091995221026,2.7786377004444542,0.14999999999999858,3.3452807646128235e-4,0.09007403889658938,0.9699999999999989,-0.033811230585421015,0.4918942739939962,34.77,7.126093189964159,-1.6004804912784056
403,39.6561561561561,24.55195897206744,-1.9299999999999997,-0.5308708708708707,0.3867130342222924,-1.5899999999999963,-0.559159159159158,-0.9299506656589447,-11.61,-0.968746246246246,-4.055372997293929,-1.2300000000000004,0.2319744744744744,-0.2395455932959858,-4.460000000000001,1.2245945945945955,0.3699313099172925,-2.47,-0.049361861861861867,-0.31102275480295116,-7,-0.8355855855855863,-2.600128131345522,-4.220000000000001,-0.08661411411411413,-0.5429131137089487,-0.490000000000002,1.484662162162162,1.092988985340404,0.07000000000000028,-0.04650150150150267,-0.00971225922532637,0.40000000000000213,0.05856606606606718,-0.004812993942674426,0,-1.994632132132132,4.737245133940796
