Year,Team1,Team2,Conference,Highest.Seed,Round
2015,Chicago Blackhawks,Minnesota Wild,western,Chicago Blackhawks,semi-finals
2015,Anaheim Ducks,Calgary Flames,western,Anaheim Ducks,semi-finals
2015,New York Rangers,Washington Capitals,eastern,New York Rangers,semi-finals
2015,Tampa Bay Lightning,Montreal Canadiens,eastern,Montreal Canadiens,semi-finals
2015,Chicago Blackhawks,Anaheim Ducks,western,Anaheim Ducks,finals
2015,Tampa Bay Lightning,New York Rangers,eastern,New York Rangers,finals
2015,Chicago Blackhawks,Tampa Bay Lightning,N/A,Tampa Bay Lightning,stanley-cup-final
2016,St Louis Blues,Chicago Blackhawks,western,St Louis Blues,quarter-finals
2016,Dallas Stars,Minnesota Wild,western,Dallas Stars,quarter-finals
2016,San Jose Sharks,Los Angeles Kings,western,Los Angeles Kings,quarter-finals
2016,Nashville Predators,Anaheim Ducks,western,Anaheim Ducks,quarter-finals
2016,New York Islanders,Florida Panthers,eastern,Florida Panthers,quarter-finals
2016,Tampa Bay Lightning,Detroit Red Wings,eastern,Tampa Bay Lightning,quarter-finals
2016,Pittsburgh Penguins,New York Rangers,eastern,Pittsburgh Penguins,quarter-finals
2016,Washington Capitals,Philadelphia Flyers,eastern,Washington Capitals,quarter-finals
2016,Tampa Bay Lightning,New York Islanders,eastern,Tampa Bay Lightning,semi-finals
2016,Pittsburgh Penguins,Washington Capitals,eastern,Washington Capitals,semi-finals
2016,St Louis Blues,Dallas Stars,western,Dallas Stars,semi-finals
2016,San Jose Sharks,Nashville Predators,western,San Jose Sharks,semi-finals
2016,Pittsburgh Penguins,Tampa Bay Lightning,eastern,Pittsburgh Penguins,finals
2016,San Jose Sharks,St Louis Blues,western,St Louis Blues,finals
2016,Pittsburgh Penguins,San Jose Sharks,N/A,Pittsburgh Penguins,stanley-cup-final
2017,Nashville Predators,Chicago Blackhawks,western,Chicago Blackhawks,quarter-finals
2017,St Louis Blues,Minnesota Wild,western,Minnesota Wild,quarter-finals
