"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Nick Tarnasky","9-10","FLA","L","31","207.32","1","2","3","3","0.87","0.87","-1.62","-0.47","128","225","-97","36.26","-8.35","3","7","-4","4.64","8.25","-3.61","36","-10.84","19","16","-3","33","9.55","1.49","0.43","5.26","98.86","44.21","14.12","27.25","44.51","28.07","49.57"
"Niclas Bergfors","9-10","N.J/ ATL","R","62","777.27","9","12","21","15","1.62","1.16","27.84","2.15","719","640","79","52.91","4.75","29","35","-6","29.13","25.57","3.56","53.25","4.72","2","7","5","177","13.66","8.42","0.65","7.09","97.27","48.45","26.63","30.88","49.37","29.33","50.01"
"Niclas Wallin","9-10","CAR/ S.J","D","68","917.52","--","4","4","3","0.26","0.2","9.6","0.63","824","809","15","50.46","-1.14","30","36","-6","36.28","34.92","1.36","50.96","1.89","9","6","-3","123","8.04","2.33","0.15","--","98.76","51.69","30.24","27.98","49.77","29.32","49.24"
"Nigel Dawes","9-10","CGY","L","66","817.25","10","12","22","19","1.62","1.39","29.84","2.19","779","665","114","53.95","3.51","35","34","1","29.32","24.86","4.46","54.12","6.7","6","17","11","159","11.67","7.07","0.52","13.89","99.93","49.78","26.61","31.08","51.64","29.55","49.83"
"Nik Antropov","9-10","ATL","C","76","1040.75","15","27","42","27","2.42","1.56","33.34","1.92","891","952","-61","48.35","-0.08","62","44","18","36.27","42.17","-5.9","46.24","0.42","19","16","-3","139","8.01","6.77","0.39","18.99","105.02","46.78","30.38","31.39","49.83","29.79","49.48"
"Nikita Filatov","9-10","CBJ","L","13","95.13","2","--","2","2","1.26","1.26","1.61","1.02","79","81","-2","49.38","1.86","2","2","--","2.99","2.86","0.13","51.11","4.88","4","--","-4","22","13.88","0.89","0.56","20","99.91","62.16","15.88","28.68","48","27.89","49.89"
"Niklas Hagman","9-10","TOR/ CGY","L","82","1038.18","20","13","33","26","1.91","1.5","49.48","2.86","1084","902","182","54.58","1.72","47","46","1","47.11","35.71","11.4","56.88","3.36","8","29","21","289","16.7","15.32","0.89","11.56","98.16","55.81","27.08","30.97","52.63","29.24","49.78"
"Niklas Hjalmarsson","9-10","CHI","D","77","1268.25","1","11","12","6","0.57","0.28","28.45","1.35","1149","922","227","55.48","-1.52","42","41","1","48.61","36.09","12.52","57.39","1","9","10","1","157","7.43","2.31","0.11","1.79","98.04","55.31","34.8","28.71","57.51","28.93","49.54"
"Niklas Kronwall","9-10","DET","D","48","788.83","3","5","8","5","0.61","0.38","16.98","1.29","764","629","135","54.85","0.1","28","25","3","29.72","26.12","3.6","53.22","-0.75","12","8","-4","96","7.3","2.35","0.18","7.32","99.96","54.08","34.95","29.07","53.95","29.27","49.96"
"Nikolay Kulemin","9-10","TOR","L","78","1009.92","13","18","31","25","1.84","1.49","44.56","2.65","1070","875","195","55.01","3.4","42","38","4","39.86","34.56","5.3","53.56","0.67","6","21","15","221","13.13","11.64","0.69","10.83","99.79","50.89","27.89","30.8","51.83","29.24","49.58"
"Nolan Baumgartner","9-10","VAN","D","12","162.52","1","1","2","1","0.74","0.37","1.98","0.73","132","182","-50","42.04","-8.32","11","4","7","6.61","7.68","-1.07","46.26","-1.05","1","1","--","16","5.91","0.56","0.21","9.09","109.29","46.74","28.96","28.19","51.72","28.76","51.05"
"Ole-kristian Tollefsen","9-10","PHI","D","18","174.42","--","1","1","--","0.34","--","2.2","0.76","160","154","6","50.96","-1.75","9","8","1","5.84","6.47","-0.63","47.44","-6.22","9","8","-1","27","9.29","0.66","0.23","--","101.56","48.48","21.63","25.72","48.9","27.53","49.62"
"Olli Jokinen","9-10","CGY/ NYR","C","82","1148.92","10","22","32","21","1.67","1.1","39.78","2.08","1124","1047","77","51.77","1.61","49","46","3","47.47","44.64","2.83","51.54","2.53","22","12","-10","327","17.08","16.04","0.84","5.41","100.84","50.33","30.29","31.12","50.69","29.77","49.86"
"Oscar Moller","9-10","L.A","C","34","239.35","3","2","5","5","1.25","1.25","3.94","0.99","172","190","-18","47.51","-2.2","7","13","-6","6.33","7.15","-0.82","46.96","-5.12","2","1","-1","53","13.29","1.97","0.49","9.68","95.34","52.78","15.17","27.05","49.15","27.35","49.91"
"Oskar Osala","9-10","CAR","L","1","6.77","--","--","--","--","--","--","0.22","1.95","8","5","3","61.54","22.79","--","--","--","0.3","0.2","0.1","60","15.72","--","--","--","3","26.59","0.1","0.89","--","100","--","15.03","28.96","49.54","28.58","54.18"
"Oskars Bartulis","9-10","PHI","D","53","697.25","1","6","7","4","0.6","0.34","0.95","0.08","604","719","-115","45.65","-6.59","29","37","-8","25.32","30.51","-5.19","45.35","-8.52","13","2","-11","72","6.2","1.7","0.15","4.17","99.4","45.33","29.63","26.4","50.53","28.22","49.53"
"Owen Nolan","9-10","MIN","R","73","882.63","10","12","22","17","1.5","1.16","21.68","1.47","759","805","-46","48.53","0.31","31","31","--","30.17","27.68","2.49","52.15","3.04","11","15","4","170","11.56","7.08","0.48","9.52","100.27","39.68","26.62","29.07","47.38","28.68","49.79"
"P A..parenteau","9-10","NYR","R","22","251.68","2","3","5","3","1.19","0.72","6.74","1.61","242","208","34","53.78","6.3","12","14","-2","9.44","8.72","0.72","51.98","3.09","2","1","-1","45","10.73","2.29","0.55","7.41","97.19","56.59","24.76","29.97","49.85","28.32","49.04"
"Pascal Dupuis","9-10","PIT","L","80","928.93","16","19","35","27","2.26","1.74","35.7","2.31","864","879","-15","49.57","-3.44","43","41","2","36.48","33.79","2.69","51.91","-0.75","8","8","--","226","14.6","11.87","0.77","11.68","99.63","57.26","25.87","30.22","52.91","29.08","49.57"
"Patrice Bergeron","9-10","BOS","C","73","960.43","12","19","31","25","1.94","1.56","46.8","2.92","996","757","239","56.82","4.94","37","39","-2","38.34","30.34","8","55.82","3.82","11","11","--","228","14.24","11.28","0.7","8.89","97.21","48.57","27.65","30.57","50.18","29.95","49.86"
"Patric Hornqvist","9-10","NSH","R","80","993.85","19","18","37","28","2.23","1.69","56.22","3.39","988","785","203","55.72","5.6","48","28","20","43.59","30.2","13.39","59.07","10.54","11","15","4","315","19.02","16.53","1","9.05","101.94","49.08","26.1","30.03","49.48","29.18","49.87"
