team,iCF/60_mean,P1_mean,P1/60_mean,GS_mean,GS/60_mean,CF_mean,Rel CF%_mean,ixGF/60_mean,ZSR_mean,CF% QoT_mean,CF% QoC_mean,TOI% QoT_mean,TOI% QoC_mean,iCF/60_sd,P1_sd,P1/60_sd,GS_sd,GS/60_sd,CF_sd,Rel CF%_sd,ixGF/60_sd,ZSR_sd,CF% QoT_sd,CF% QoC_sd,TOI% QoT_sd,TOI% QoC_sd,iCF/60_max,P1_max,P1/60_max,GS_max,GS/60_max,CF_max,Rel CF%_max,ixGF/60_max,ZSR_max,CF% QoT_max,CF% QoC_max,TOI% QoT_max,TOI% QoC_max,year
CHI,12.515625,10.375,0.881875,19.288125,1.595625,706.53125,-0.35624999999999996,0.4884375,52.9028125,51.86,49.8996875,28.64625,28.5678125,2.634671966482306,9.451915661780916,0.5140254637849713,14.86980214144783,0.7773567184645254,445.62178266494544,4.085630799798002,0.26536778343248635,6.728465402555556,0.7711491215983688,0.4294518965514215,1.0537880976926572,0.6085028394717324,17.41,37,1.74,50.36,2.73,1567,8.21,1.07,64.5,53.24,50.89,30.61,29.95,2018
COL,10.286333333333333,10.533333333333333,0.8133333333333334,13.223666666666666,0.905,617.6,-1.275,0.363,48.547333333333334,47.20166666666667,49.92966666666667,28.661666666666665,28.552666666666667,3.1760509890518875,10.89363412125706,0.615816437794146,13.98930859826429,0.855415809356217,402.8462186269954,4.11926738548294,0.22190631760520804,9.94840931084422,0.8003278782122218,0.41572108797666935,1.5842850739063024,0.5634250758458959,18.85,45,2.45,57.66,3.14,1220,4.4,0.83,75,48.85,50.33,32.37,29.75,2018
DAL,11.8076,11.44,0.7992,20.3396,1.436,771.44,-0.44480000000000003,0.5032,45.842,50.692,49.7456,28.6324,28.5388,3.640863313373171,10.037762034769836,0.5977452077041968,15.306407285839482,0.7780156382318631,437.70253216844276,3.0176952021921193,0.33037503941228163,7.373447859267288,1.0860555541346246,0.3034809164785601,1.4285840308967948,0.6688131278615873,24.07,35,2.29,53.73,3.46,1521,6.53,1.52,56.55,51.81,50.27,32.06,29.79,2018
DET,10.445925925925925,11.74074074074074,0.8385185185185186,15.888518518518518,1.018888888888889,711.8518518518518,-2.0825925925925928,0.4525925925925926,51.37888888888889,48.82703703703704,49.82296296296296,28.842222222222222,28.501851851851853,3.6182212579145943,9.497338058605173,0.556608574685214,13.141535065381207,0.9028303074789659,401.9578722380382,5.99373236267083,0.26160146718879007,11.92696599931089,0.9274481731935834,0.7834922552011049,1.2024664822878186,0.8848295665399991,17.75,31,1.96,44.28,2.2,1201,3.76,0.98,100,52.02,51.51,31.14,29.51,2018
EDM,12.24258064516129,10.935483870967742,0.8206451612903226,17.334193548387095,1.3206451612903225,700.1290322580645,-0.3987096774193548,0.5787096774193549,52.181612903225805,50.08225806451613,49.88903225806452,28.580967741935485,28.506129032258066,3.3057444625398533,10.797948829510684,0.5867079653108008,16.006608379914745,0.756328568299391,426.0088216563505,2.784344018418562,0.35549722863883554,6.1338748475300084,0.9389629374205688,0.3715853857792729,1.5080790316131967,0.7130763279357729,23.55,51,2.3,76.96,3.47,1536,6.21,1.51,68.75,51.26,51.19,32.08,29.84,2018
FLA,10.95,11.607142857142858,0.8575,17.330357142857142,1.1242857142857143,679.4642857142857,-0.6467857142857143,0.4682142857142857,49.05428571428571,48.85642857142857,49.80285714285714,28.516428571428573,28.361428571428572,3.926024282485612,10.747400325502618,0.5838608725702712,16.740002319160613,0.9262206303493008,472.72084645935456,3.3979951099428862,0.25686217044005255,12.070701421385289,1.0763216312832578,0.3171032913019001,1.9024724931787023,0.8031637178508239,18.48,40,2.26,58.25,3.28,1392,6.19,0.94,100,51.68,50.53,32.06,29.63,2018
LAK,10.9,9.794117647058824,0.7573529411764706,15.009705882352941,1.076764705882353,643.8823529411765,-2.396470588235294,0.43176470588235294,50.186470588235295,49.34117647058824,49.77970588235294,28.55235294117647,28.571176470588235,3.304753234266356,8.0369578586741,0.45706115779049117,14.457965715761889,1.2957920722377312,430.0892623846105,7.667292154597815,0.25862656579469817,7.824353931060549,0.7583585332045354,0.7568214444320591,1.5575370199861864,0.7120596021439125,19.47,35,1.64,51.32,4.44,1556,7.88,0.97,67.65,50.94,51.34,32.35,30.08,2018
MIN,9.51969696969697,9.575757575757576,0.906969696969697,12.104848484848485,1.0833333333333333,532.2727272727273,-1.7975757575757576,0.416969696969697,47.446666666666665,46.04909090909091,50.122424242424245,28.478181818181817,28.55151515151515,4.853693493650277,9.643748956676234,1.2676786975819347,13.648107955228657,1.810412015720915,429.18500328582604,6.228124231210707,0.3914355378641934,11.8227235299937,1.6968985746730045,0.8353705401759985,1.9143103434158972,0.6832784992781185,21.9,36,7.3,47.72,6.72,1424,9.28,1.9,75,47.9,52.71,31.7,29.92,2018
MTL,11.381764705882352,8.235294117647058,0.6855882352941176,13.410588235294117,1.0767647058823528,636.2647058823529,-1.184705882352941,0.45529411764705885,51.262352941176474,49.78970588235294,49.68970588235294,27.923235294117646,28.544117647058822,3.3173880475624973,6.733268032368973,0.4404487462114244,11.543785666854772,0.683917949129002,386.4121922933349,3.8598879205694927,0.30273736286332464,6.350956529638251,0.9774843571378506,0.584239911774096,1.1658544027508526,0.5823625739673973,21.32,27,1.55,50.37,2.89,1471,5.19,1.16,75,51.16,50.51,29.89,29.53,2018
NJD,11.315999999999999,11.6,0.8270000000000001,15.558333333333334,1.098,674.2666666666667,-0.18866666666666665,0.5466666666666666,47.81033333333333,48.40533333333333,50.115,28.561666666666667,28.813333333333333,3.1813135435019553,9.669004869810221,0.5740908855116812,13.830069459853332,0.7820635832692008,394.99925214537086,4.011502198062151,0.3052227375872084,10.204808698584829,0.7487586662135441,0.9112013668967366,1.1977193365707184,0.4798083908749645,20.59,36,2.06,53.52,2.83,1266,6.08,1.2,85.71,50.06,52.98,30.62,29.47,2018
NSH,11.492962962962963,12.962962962962964,0.8962962962962963,22.775925925925925,1.4407407407407407,790.5925925925926,-1.968888888888889,0.49666666666666665,48.912962962962965,50.440370370370374,49.872592592592596,28.647037037037038,28.631851851851852,3.4431714079797633,9.300461036882822,0.5611331128799747,18.24953724582105,1.0996710204767393,410.38052316012005,6.066283448026054,0.2848751413406339,9.828899623369232,1.2565994450270004,0.23962458767819056,1.4781844758788882,0.5889432324546491,19.48,31,2.11,55.33,3.39,1528,7.68,1.05,65.81,53.2,50.31,30.91,29.67,2018
NYI,10.019333333333334,11.8,0.87,14.085333333333333,0.845,658.4666666666667,-1.8686666666666667,0.42433333333333334,45.379333333333335,47.222,49.916,28.246,28.675,2.8928794071595547,10.832263430810881,0.5471052347867222,15.473707117365993,1.0102295744549594,402.0865178243259,5.064799232385012,0.23148223039470167,6.934998164399893,0.9281364346793584,0.32210086233545143,1.0728164672551372,0.49473608429489785,15.77,39,2.09,56.06,3,1275,8.54,0.81,56,49.64,50.29,30.49,29.77,2018
NYR,10.725277777777778,9.277777777777779,0.7633333333333333,10.171944444444444,0.6502777777777777,567,-1.1119444444444444,0.5066666666666667,49.539722222222224,46.83583333333333,49.86416666666667,28.33416666666667,28.60333333333333,3.0248253655481494,8.66721609980015,0.5240719688854085,11.744731540918847,1.0173171611396352,372.18451645079796,5.369749565559403,0.2702062704147122,8.76516106481013,1.592761079742614,0.6872237107168443,1.106968511618233,0.6196173934660923,19.24,26,1.59,33.26,2.2,1291,13.25,1.07,66.14,52.28,50.68,30.2,29.56,2018
OTT,10.105121951219513,8.317073170731707,0.8390243902439024,10.075121951219513,0.9702439024390244,528.609756097561,0.16121951219512193,0.39975609756097563,51.60390243902439,47.469268292682926,49.98560975609756,28.15219512195122,28.363170731707317,3.913334334011866,9.078653601691839,0.9179400984760628,12.44142578685241,1.1166008414041209,447.60975626368895,5.296431909843622,0.2390866768023476,14.927795697632117,0.9091655246540714,0.8775962875391162,1.7447614624858065,0.7580021075973017,21.47,33,5.37,40.67,4.4,1444,15.56,0.83,100,50.4,52.82,30.93,29.29,2018
PHI,10.9275,11.214285714285714,0.6992857142857143,17.986071428571428,1.1375,677.25,-0.2703571428571429,0.4667857142857143,49.49892857142857,49.03857142857143,49.675357142857145,28.35107142857143,28.498214285714287,3.052071094021724,10.867406733003468,0.543602036974821,17.0589584023318,0.8912065271720546,416.3470440763464,4.598521889849886,0.31149643088649737,4.642716589244096,1.2706974296314433,0.6926785484108563,1.6792377884815928,0.7125647654589335,19.11,37,1.84,60.12,2.99,1357,10.45,1.59,58.82,50.88,50.76,31.47,29.71,2018
