year,team,blocks_at_ES,hits_at_ES,faceoff_win_percentage,give_aways,take_aways,win_percent_lead_1P,win_percent_lead_2P,win_percent_trail_1P,win_percent_trail_2P,ot_losses_lead_1P,ot_losses_lead_2P
2008,San Jose Sharks,11.9,21.47,52.3,0.12097560975609756,0.0747560975609756,0.667,0.921,0.375,0.148,0.04878048780487805,0.024390243902439025
2008,Buffalo Sabres,12.39,18.1,49.8,0.1103658536585366,0.057439024390243905,0.792,0.8,0.333,0.171,0.036585365853658534,0.06097560975609756
2008,Tampa Bay Lightning,12.96,19.53,48.6,0.08256097560975609,0.08817073170731708,0.75,0.742,0.172,0,0.036585365853658534,0.04878048780487805
2008,Florida Panthers,11.78,18.66,47.8,0.07878048780487805,0.06378048780487805,0.645,0.724,0.231,0.2,0.06097560975609756,0.04878048780487805
2008,Toronto Maple Leafs,12.8,18.6,50.4,0.12451219512195123,0.06853658536585366,0.565,0.759,0.263,0.176,0.04878048780487805,0.04878048780487805
2008,Washington Capitals,12.09,19.23,50.2,0.12341463414634145,0.0975609756097561,0.724,0.9,0.25,0.036,0.024390243902439025,0.024390243902439025
2008,New Jersey Devils,9.95,17.64,48.7,0.06804878048780488,0.07914634146341464,0.806,0.879,0.318,0.25,0.036585365853658534,0.012195121951219513
2008,Edmonton Oilers,13.62,13.46,50.5,0.1348780487804878,0.08073170731707317,0.696,0.828,0.24,0.036,0.036585365853658534,0.036585365853658534
2008,Anaheim Ducks,8.63,19.4,47.8,0.09426829268292683,0.07975609756097561,0.821,0.909,0.407,0.194,0.036585365853658534,0.024390243902439025
2008,Philadelphia Flyers,14.12,17.03,49.5,0.10329268292682928,0.07524390243902439,0.773,0.882,0.281,0.125,0.024390243902439025,0.036585365853658534
2008,New York Islanders,13.64,19.4,51.8,0.10219512195121952,0.12219512195121951,0.696,0.88,0.179,0.105,0.04878048780487805,0.024390243902439025
2008,Carolina Hurricanes,12.75,21.03,50.5,0.07158536585365854,0.08390243902439025,0.793,0.865,0.208,0.129,0.012195121951219513,0.012195121951219513
2008,New York Rangers,12.11,25.55,53.3,0.09036585365853658,0.1001219512195122,0.758,0.871,0.158,0.171,0.06097560975609756,0.036585365853658534
2008,Ottawa Senators,12.18,21.72,52.3,0.11524390243902438,0.08670731707317074,0.786,0.857,0.179,0.152,0.036585365853658534,0.04878048780487805
2008,Pittsburgh Penguins,13.59,18.74,51.2,0.07902439024390244,0.07036585365853658,0.808,0.9,0.4,0.207,0.024390243902439025,0.036585365853658534
2008,Atlanta Thrashers,12.87,15.96,49.7,0.08817073170731708,0.10951219512195122,0.7,0.727,0.222,0.179,0.024390243902439025,0.036585365853658534
2008,Montreal Canadiens,16.13,24.11,48.8,0.10951219512195122,0.09426829268292683,0.848,0.865,0.2,0.103,0.036585365853658534,0.04878048780487805
2008,Nashville Predators,10.51,17.48,49.4,0.08146341463414634,0.10804878048780488,0.8,0.929,0.16,0.152,0.024390243902439025,0.012195121951219513
2008,Dallas Stars,9.56,19.51,51.8,0.12170731707317074,0.10634146341463416,0.704,0.775,0.308,0.192,0.036585365853658534,0.04878048780487805
2008,Columbus Blue Jackets,10.66,18.79,51.2,0.057926829268292686,0.061097560975609755,0.778,0.857,0.154,0.139,0.04878048780487805,0.012195121951219513
2008,Minnesota Wild,10.99,14.86,51.7,0.08878048780487806,0.0723170731707317,0.767,0.889,0.16,0.138,0.04878048780487805,0.04878048780487805
2008,Phoenix Coyotes,12.23,18.88,49,0.061097560975609755,0.07243902439024391,0.7,0.818,0.219,0.059,0.012195121951219513,0.024390243902439025
2008,Calgary Flames,9.21,19.69,48.6,0.10207317073170731,0.09134146341463414,0.773,0.8,0.346,0.138,0.036585365853658534,0.06097560975609756
2008,Chicago Blackhawks,10.73,17.84,49.1,0.06195121951219512,0.06987804878048781,0.8,0.931,0.28,0.143,0.012195121951219513,0.024390243902439025
2008,Boston Bruins,10.53,19.1,46.1,0.07292682926829269,0.06292682926829268,0.724,0.886,0.25,0.188,0.04878048780487805,0.04878048780487805
2008,St Louis Blues,12.53,20.55,49.3,0.06402439024390244,0.06658536585365854,0.762,0.815,0.231,0.094,0.036585365853658534,0.04878048780487805
2008,Vancouver Canucks,11.84,14.76,52.3,0.09085365853658536,0.07439024390243902,0.692,0.931,0.12,0.061,0.024390243902439025,0.012195121951219513
2008,Detroit Red Wings,8.54,17.03,51,0.09073170731707318,0.07878048780487805,0.897,0.9,0.238,0.273,0.012195121951219513,0.012195121951219513
2008,Los Angeles Kings,12.61,19.92,50.4,0.1379268292682927,0.06329268292682927,0.565,0.917,0.281,0.116,0.036585365853658534,0
2009,Columbus Blue Jackets,12.24,22.98,48.5,0.052073170731707315,0.07402439024390245,0.714,0.875,0.25,0.121,0.024390243902439025,0
2009,Toronto Maple Leafs,15,21.14,51.2,0.11402439024390243,0.08682926829268293,0.522,0.692,0.343,0.167,0.07317073170731707,0.0975609756097561
2009,Chicago Blackhawks,10.16,18.24,50.1,0.05780487804878049,0.07146341463414635,0.781,0.854,0.37,0.125,0.04878048780487805,0.04878048780487805
2009,St Louis Blues,13.55,19.35,44.8,0.06939024390243903,0.07195121951219513,0.654,0.848,0.296,0.138,0.04878048780487805,0.036585365853658534
2009,New York Rangers,11.46,27.68,52,0.065,0.08731707317073172,0.609,0.844,0.4,0.214,0.04878048780487805,0.036585365853658534
2009,Nashville Predators,12.43,20.07,47.8,0.09060975609756097,0.10219512195121952,0.789,0.917,0.25,0.2,0.024390243902439025,0
2009,Minnesota Wild,12.43,17.66,49.8,0.08658536585365853,0.06439024390243903,0.778,0.933,0.182,0.097,0.012195121951219513,0.012195121951219513
2009,New Jersey Devils,11.66,17.4,51.9,0.06548780487804878,0.06317073170731707,0.794,0.951,0.37,0.214,0.036585365853658534,0.012195121951219513
2009,Washington Capitals,13.37,20,47.9,0.13890243902439026,0.1124390243902439,0.833,0.868,0.348,0.182,0.036585365853658534,0.024390243902439025
2009,Ottawa Senators,13.78,23.1,47.8,0.10341463414634147,0.09463414634146342,0.8,0.815,0.179,0.091,0.012195121951219513,0.036585365853658534
2009,Florida Panthers,13.26,18.75,51.3,0.08195121951219513,0.07207317073170733,0.654,0.829,0.321,0.1,0.036585365853658534,0.036585365853658534
2009,Los Angeles Kings,12.47,25.52,49.1,0.12695121951219512,0.0676829268292683,0.818,0.8,0.115,0.111,0.012195121951219513,0.024390243902439025
2009,Philadelphia Flyers,14.9,20.52,52.2,0.12439024390243901,0.09378048780487805,0.821,0.844,0.3,0.138,0.024390243902439025,0.024390243902439025
2009,Carolina Hurricanes,14.37,20.65,55.1,0.06865853658536586,0.0975609756097561,0.655,0.861,0.258,0.25,0.024390243902439025,0.024390243902439025
2009,Dallas Stars,11.77,24.89,48.1,0.10439024390243903,0.09695121951219512,0.826,0.867,0.27,0.094,0.012195121951219513,0.036585365853658534
2009,Boston Bruins,12.9,21.96,51.7,0.06792682926829269,0.07304878048780489,0.794,0.884,0.526,0.118,0.036585365853658534,0.036585365853658534
2009,Anaheim Ducks,9.63,21.15,50.1,0.09585365853658537,0.0697560975609756,0.76,0.963,0.08,0.107,0.024390243902439025,0
2009,Pittsburgh Penguins,15.33,23.22,47.9,0.08865853658536585,0.06804878048780488,0.655,0.758,0.429,0.324,0.04878048780487805,0.06097560975609756
2009,Detroit Red Wings,8.91,17.79,51.3,0.08024390243902439,0.06524390243902439,0.788,0.81,0.417,0.333,0.07317073170731707,0.07317073170731707
2009,Atlanta Thrashers,13.51,16.62,51.1,0.08902439024390243,0.10817073170731706,0.769,0.917,0.129,0.154,0.012195121951219513,0
2009,New York Islanders,16.77,22.04,53.8,0.09865853658536586,0.12597560975609756,0.429,0.7,0.125,0.024,0.036585365853658534,0.04878048780487805
2009,Colorado Avalanche,15.84,17.57,51.8,0.09548780487804878,0.09695121951219512,0.652,0.909,0.111,0.125,0,0.024390243902439025
2009,Tampa Bay Lightning,13.22,22.2,50.9,0.09378048780487805,0.08256097560975609,0.44,0.68,0.133,0.071,0.0975609756097561,0.06097560975609756
2009,Buffalo Sabres,13,17.5,47.4,0.12085365853658536,0.06646341463414634,0.722,0.794,0.32,0.219,0.036585365853658534,0.07317073170731707
2009,Montreal Canadiens,15.77,23.66,51,0.1273170731707317,0.09426829268292683,0.857,0.853,0.241,0.212,0.024390243902439025,0.036585365853658534
2009,San Jose Sharks,11.61,24.5,49.1,0.11560975609756098,0.08390243902439025,0.828,0.868,0.393,0.2,0.036585365853658534,0.04878048780487805
2009,Vancouver Canucks,11.94,15.81,48.3,0.09170731707317073,0.08463414634146342,0.735,0.909,0.31,0.179,0.04878048780487805,0.036585365853658534
2009,Phoenix Coyotes,14.62,21.87,50.9,0.05780487804878049,0.05646341463414634,0.762,0.931,0.174,0.075,0,0.012195121951219513
2009,Calgary Flames,9.52,18.76,45.7,0.09841463414634147,0.07829268292682927,0.739,0.875,0.345,0.121,0.04878048780487805,0.036585365853658534
2009,Edmonton Oilers,12.92,16.77,51.3,0.1423170731707317,0.08158536585365854,0.808,0.893,0.185,0.061,0.012195121951219513,0.024390243902439025
2010,Florida Panthers,16.81,21.68,52.2,0.07024390243902438,0.07512195121951219,0.6,0.7,0.28,0.135,0.06097560975609756,0.07317073170731707
2010,Los Angeles Kings,11.83,25.36,51,0.10890243902439024,0.060731707317073176,0.815,0.935,0.385,0.235,0.024390243902439025,0.024390243902439025
2010,Colorado Avalanche,14.72,18.82,55.6,0.08634146341463415,0.0997560975609756,0.758,0.805,0.296,0.167,0.036585365853658534,0.04878048780487805
2010,Ottawa Senators,14.35,23.33,50,0.10646341463414635,0.10280487804878048,0.84,0.966,0.154,0.088,0.024390243902439025,0
2010,Washington Capitals,13.81,20.74,50.6,0.1025609756097561,0.09609756097560976,0.718,0.889,0.471,0.364,0.06097560975609756,0.04878048780487805
2010,Columbus Blue Jackets,12.35,24.91,48.1,0.0526829268292683,0.057926829268292686,0.481,0.686,0.179,0.118,0.07317073170731707,0.04878048780487805
2010,Tampa Bay Lightning,13.29,19.79,48.1,0.08829268292682928,0.07463414634146341,0.667,0.828,0.107,0.103,0.04878048780487805,0.012195121951219513
2010,St Louis Blues,12.65,21.11,51.4,0.07621951219512195,0.08,0.625,0.758,0.357,0.103,0.024390243902439025,0.07317073170731707
2010,Phoenix Coyotes,11.56,21.48,46.4,0.05865853658536585,0.05865853658536585,0.958,0.917,0.231,0.226,0,0.024390243902439025
2010,Dallas Stars,13.75,27.95,47.7,0.09780487804878048,0.09097560975609756,0.667,0.88,0.344,0.158,0.04878048780487805,0.024390243902439025
2010,New York Islanders,16.5,21.88,48,0.11073170731707317,0.13756097560975608,0.6,0.794,0.1,0.077,0.04878048780487805,0.04878048780487805
