year,team,average_age,regular_season_winpercentage,otl,points,points_percentage_ofmax,goals_for,goals_against,goal_diff,srs,sos,penalty_mins_pg,powerplay_goals,powerplay_oppurtunities,powerplay_percentage,penaltykill_percentage,sog,shot_percentage
2014,Phoenix Coyotes,28.7,0.45121951219512196,0.18292682926829268,1.0853658536585367,0.543,2.5609756097560976,2.731707317073171,-0.17073170731707332,-0.16,0.03,9.9,0.6829268292682927,3.4390243902439024,19.86,79.04,30.451219512195124,8.4
2014,Ottawa Senators,26.6,0.45121951219512196,0.17073170731707318,1.0731707317073171,0.537,2.792682926829268,3.1463414634146343,-0.35365853658536617,-0.37,-0.02,13.3,0.6097560975609756,3.3048780487804876,18.45,80.94,32.81707317073171,8.5
2014,Nashville Predators,26.7,0.4634146341463415,0.14634146341463414,1.0731707317073171,0.537,2.6097560975609757,2.841463414634146,-0.2317073170731705,-0.25,0.07,9.9,0.5609756097560976,2.9146341463414633,19.25,80.25,29.048780487804876,9
2014,New Jersey Devils,30.6,0.4268292682926829,0.21951219512195122,1.0731707317073171,0.537,2.402439024390244,2.3780487804878048,0.024390243902439046,-0.15,-0.02,8,0.573170731707317,2.9390243902439024,19.5,86.36,26.817073170731707,9
2014,Toronto Maple Leafs,26.2,0.4634146341463415,0.0975609756097561,1.024390243902439,0.512,2.707317073170732,3.073170731707317,-0.36585365853658525,-0.34,-0.04,12.7,0.6097560975609756,3.073170731707317,19.84,78.36,27.926829268292682,9.7
2014,Winnipeg Jets,26.3,0.45121951219512196,0.12195121951219512,1.024390243902439,0.512,2.6707317073170733,2.817073170731707,-0.14634146341463383,-0.07,0.06,11.9,0.4878048780487805,3.158536585365854,15.44,83.16,30.682926829268293,8.7
2014,Carolina Hurricanes,27,0.43902439024390244,0.13414634146341464,1.0121951219512195,0.506,2.5,2.7560975609756095,-0.25609756097560954,-0.29,-0.01,7.9,0.5,3.426829268292683,14.59,81.74,31.23170731707317,8
2014,Vancouver Canucks,28.6,0.43902439024390244,0.13414634146341464,1.0121951219512195,0.506,2.3292682926829267,2.6341463414634148,-0.3048780487804881,-0.3,0.03,13.6,0.47560975609756095,3.1341463414634148,15.18,83.21,30.817073170731707,7.6
2014,New York Islanders,26.2,0.4146341463414634,0.13414634146341464,0.9634146341463414,0.482,2.6341463414634148,3.182926829268293,-0.5487804878048781,-0.51,0,12.4,0.5975609756097561,3.3658536585365852,17.75,78.11,30.9390243902439,8.5
2014,Calgary Flames,26.7,0.4268292682926829,0.08536585365853659,0.9390243902439024,0.47,2.4634146341463414,2.902439024390244,-0.4390243902439024,-0.35,0.04,10.5,0.47560975609756095,3.0365853658536586,15.66,81.7,26.817073170731707,9.2
2014,Edmonton Oilers,26.5,0.35365853658536583,0.10975609756097561,0.8170731707317073,0.409,2.426829268292683,3.2560975609756095,-0.8292682926829267,-0.75,0.07,11.8,0.5609756097560976,3.3048780487804876,16.97,82.14,26.926829268292682,9
2014,Florida Panthers,29,0.35365853658536583,0.0975609756097561,0.8048780487804879,0.402,2.292682926829268,3.1951219512195124,-0.9024390243902443,-0.87,0.01,10.3,0.32926829268292684,3.2804878048780486,10.04,75.95,29.890243902439025,7.7
