Year,Up.To.Round,Team,CF.Playoff,CA.Playoff,FenFor.Playoff,FenAga.Playoff,SCF.Playoff,SCA.Playoff,HDSV.Playoff,HDCF.Playoff,HDCA.Playoff,SavePercentage.Playoff,PDO.Playoff,xGF.Playoff,xGA.Playoff
2011,semi-finals,Chicago Blackhawks,48.17,59.43,38.09,42.85,20.08,25.12,81.48,8.97,9.4,93.98,1.021,1.99,2.01
2011,semi-finals,Vancouver Canucks,57.9,46.38,41.21,34.23,25.6,19.77,86.39,9.02,8.29,92.83,0.984,1.94,1.79
2011,semi-finals,Los Angeles Kings,52.87,64.09,37.71,47.12,20.92,30.89,79.55,8.91,11.32,90.77,1.013,1.92,2.65
2011,semi-finals,San Jose Sharks,60.09,60.94,43.87,43.51,28.15,26.19,82.61,10.79,9.86,91.78,1.002,2.44,2.23
2011,semi-finals,Phoenix Coyotes,54.14,67.03,41.22,53.98,26.18,33.65,80.21,8.32,14.87,88.23,0.929,2,2.7
2011,semi-finals,Detroit Red Wings,67.75,55.67,50.58,41.06,31.89,25.88,89.74,12.19,9.6,93.35,1.019,2.57,2.17
2011,semi-finals,Nashville Predators,51.13,53.34,36.13,38.26,22.33,24.35,84,9.71,9.32,93.49,1.019,2.02,2
2011,semi-finals,Anaheim Ducks,49.91,59.21,36.9,43.53,22.21,25.81,71.67,10.19,12.31,89.4,0.978,2.16,2.58
2011,finals,New York Rangers,50.4,59.16,32.5,41.91,24.68,28.41,84.82,7.05,12.51,92.41,0.967,1.76,2.65
2011,finals,Washington Capitals,61.06,51.35,42.84,35.08,27.26,25.85,76.47,12.08,8.95,92.25,0.992,2.48,1.98
2011,finals,Buffalo Sabres,54.03,63.36,40.01,46.98,21.04,28.49,83.83,10.45,14.43,90.57,0.973,2.09,2.77
2011,finals,Philadelphia Flyers,60.4,58.4,44.35,42.67,26.99,24.68,77.7,12.07,11.27,89.7,0.967,2.42,2.36
2011,finals,Montreal Canadiens,55.17,64.51,39.75,45.4,20.27,28.04,84.48,7.48,8.39,92.59,0.978,1.87,2.31
2011,finals,Boston Bruins,61.8,56.25,44.07,41.39,27.02,23.67,83.83,9.39,8.93,94.24,1.045,2.24,1.97
2011,finals,Tampa Bay Lightning,52.88,63.39,40.05,44.57,24.91,25.56,81.63,10.41,9.93,92.26,1.014,2.1,2.06
2011,finals,Pittsburgh Penguins,69.75,47.97,48.39,36.64,27.37,21.37,73.82,10.38,9.06,91.26,0.977,2.17,1.95
2011,finals,Chicago Blackhawks,48.17,59.43,38.09,42.85,20.08,25.12,81.48,8.97,9.4,93.98,1.021,1.99,2.01
2011,finals,Vancouver Canucks,57.55,50.69,40.42,37.21,25.73,20.93,87.23,9.85,9.15,93.79,1.002,1.98,1.91
2011,finals,Los Angeles Kings,52.87,64.09,37.71,47.12,20.92,30.89,79.55,8.91,11.32,90.77,1.013,1.92,2.65
2011,finals,San Jose Sharks,60.79,59.69,44.32,41.99,26.99,26.16,83.69,11,10.52,91.63,0.988,2.38,2.18
2011,finals,Phoenix Coyotes,54.14,67.03,41.22,53.98,26.18,33.65,80.21,8.32,14.87,88.23,0.929,2,2.7
2011,finals,Detroit Red Wings,67.75,55.67,50.58,41.06,31.89,25.88,89.74,12.19,9.6,93.35,1.019,2.57,2.17
2011,finals,Nashville Predators,51.13,53.34,36.13,38.26,22.33,24.35,84,9.71,9.32,93.49,1.019,2.02,2
