"player","position","season","Team","GP","TOI","rel_TM_GF60","rel_TM_GA60","rel_TM_G_diff60","rel_TM_xGF60","rel_TM_xGA60","rel_TM_xG_diff60","rel_TM_SF60","rel_TM_SA60","rel_TM_S_diff60","rel_TM_FF60","rel_TM_FA60","rel_TM_F_diff60","rel_TM_CF60","rel_TM_CA60","rel_TM_C_diff60"
"SERGEI.PLOTNIKOV","F","20152016","PIT",32,299.42,-0.96,-0.24,-0.73,-0.4,-0.19,-0.21,-1.31,-1.15,-0.17,-0.11,-2.26,2.16,0.34,-3.1,3.44
"SERGEY.KALININ","F","20152016","N.J",78,904.38,-0.17,-0.02,-0.15,-0.16,0.21,-0.37,-1.05,0.54,-1.59,-0.67,0.68,-1.35,-0.37,0.1,-0.47
"SETH.HELGESON","D","20152016","N.J",19,253.92,-1.12,-0.64,-0.48,-0.16,0.22,-0.38,-2.29,1.8,-4.09,-0.97,4.84,-5.82,-1.31,7.11,-8.42
"SETH.JONES","D","20152016","CBJ",41,772.03,-0.18,0.23,-0.41,0.42,0.56,-0.13,2.33,2.13,0.2,4.04,3.4,0.64,7.22,5.46,1.76
"SETH.JONES","D","20152016","NSH",40,616.15,-0.72,-0.11,-0.61,-0.38,-0.07,-0.31,0.99,-3.1,4.09,0.7,-5.53,6.23,1.54,-5.89,7.43
"SHANE.DOAN","F","20152016","ARI",72,966.73,0.52,-0.02,0.54,0.1,0.06,0.04,2.01,1.36,0.65,2.98,1.28,1.7,3.39,1.16,2.23
"SHANE.PRINCE","F","20152016","NYI",20,242.28,-0.03,-0.65,0.62,-0.37,-0.16,-0.21,-1.87,1.85,-3.71,-4.22,2.75,-6.97,-5.15,7.78,-12.93
"SHANE.PRINCE","F","20152016","OTT",42,433.65,0.51,0.22,0.29,0.17,-0.04,0.21,4.3,-0.96,5.27,5.02,-1.31,6.33,6.41,-3.04,9.45
"SHAWN.HORCOFF","F","20152016","ANA",59,663.52,-0.2,-0.34,0.15,0,-0.19,0.19,-1.09,-0.3,-0.79,-3.3,0.49,-3.79,-4.6,-0.34,-4.26
"SHAWN.MATTHIAS","F","20152016","COL",20,241.32,1.13,1.45,-0.32,0.63,0.47,0.16,3.51,3.98,-0.48,3.36,4.07,-0.71,5.9,8.54,-2.64
"SHAWN.MATTHIAS","F","20152016","TOR",51,586.15,0.07,0.63,-0.56,-0.22,0.22,-0.44,-1.32,3.09,-4.41,-1.92,3.12,-5.04,0.23,4.05,-3.82
"SHAWN.THORNTON","F","20152016","FLA",50,428.15,-0.95,-0.23,-0.72,-0.37,-0.12,-0.26,-1.09,-1.18,0.09,-2.42,-3.34,0.92,-4.38,-4.45,0.07
"SHAYNE.GOSTISBEHERE","D","20152016","PHI",64,1003.7,0.76,-0.22,0.98,0.15,0.08,0.06,0.11,-1.15,1.25,-0.24,-0.15,-0.09,-0.07,0.55,-0.62
"SHEA.THEODORE","D","20152016","ANA",19,283.92,0.49,-1.21,1.69,0.12,0.06,0.06,-0.57,0.75,-1.32,-1.66,2.7,-4.36,-4.35,3.23,-7.58
"SHEA.WEBER","D","20152016","NSH",78,1462.1,-0.12,0.31,-0.42,0.06,-0.07,0.13,1.04,1.26,-0.22,2.48,2.02,0.45,2.5,3.59,-1.09
"SIDNEY.CROSBY","F","20152016","PIT",80,1269.82,0.5,0.24,0.26,0.22,0.19,0.02,1.69,0.52,1.17,2.71,0.65,2.06,3.92,1.26,2.66
"SIMON.DESPRES","D","20152016","ANA",32,541.57,0.06,0.07,0,-0.05,0,-0.05,-1.59,0.57,-2.16,-0.4,-0.27,-0.14,-2.1,2.35,-4.45
"SLATER.KOEKKOEK","D","20152016","T.B",9,92.48,-0.97,0.02,-0.99,0.47,-0.24,0.72,9.89,2.77,7.13,8.89,1.24,7.65,8.81,1.23,7.58
"STANISLAV.GALIEV","F","20152016","WSH",24,200.8,-0.43,-0.69,0.25,-0.28,0.22,-0.5,-2.3,0,-2.31,-1.39,0.56,-1.94,0.11,-1.58,1.69
"STEFAN.ELLIOTT","D","20152016","ARI",19,242.8,-0.01,0.03,-0.04,0.14,0.16,-0.02,0.51,-0.06,0.57,2.89,0.42,2.47,4.93,-0.88,5.82
