Year,Up.To.Round,Team,CF.Playoff,CA.Playoff,FenFor.Playoff,FenAga.Playoff,SCF.Playoff,SCA.Playoff,HDCF.Playoff,HDCA.Playoff,SavePercentage.Playoff,PDO.Playoff,xGF.Playoff,xGA.Playoff
2010,quarter-finals,Vancouver Canucks,61.37,49.51,45.77,36.82,27.46,22.88,78.95,20.83,1.25,0.83,2.05,1.76
2010,quarter-finals,Detroit Red Wings,59.42,51.69,46.34,41.79,23.77,22.38,50,14.08,1.98,1.78,2.16,2.1
2010,quarter-finals,Phoenix Coyotes,51.69,59.42,41.79,46.34,22.38,23.77,50,13.7,1.78,1.98,2.1,2.16
2010,semi-finals,Montreal Canadiens,50.28,71.39,35.19,49.45,20.93,30.93,50,15.08,0.93,1.39,1.62,2.68
2010,semi-finals,Washington Capitals,79.2,53.93,52.99,37.72,36.4,24.89,59.09,10.83,1.7,0.94,3.06,1.81
2010,semi-finals,Philadelphia Flyers,49.97,56.04,35.08,39.82,24.27,24.93,64.52,14.93,1.65,0.99,2.13,2.06
2010,semi-finals,New Jersey Devils,56.81,43.37,40.93,31.76,25.96,20.16,14.29,2.63,0.31,1.22,2.06,1.8
2010,semi-finals,Boston Bruins,59.07,53.11,42.28,38.06,25.59,25.32,40,9.88,1.19,1.56,2.09,2.24
2010,semi-finals,Buffalo Sabres,52.43,63,39.32,45.78,23.87,27,62.5,12.2,1.17,0.98,2.15,2.12
2010,semi-finals,Ottawa Senators,48.98,62.58,36.69,43.77,19.18,26.45,39.13,15.52,1.3,1.68,1.83,2.17
2010,semi-finals,Pittsburgh Penguins,63.22,47.86,44.91,34.7,26.04,18.13,51.28,12.27,1.38,1.1,2.24,1.63
2010,semi-finals,Colorado Avalanche,41.44,68.86,31.75,49.28,17.94,29.69,46.67,12.07,1.03,1.44,1.44,2.3
2010,semi-finals,San Jose Sharks,63.87,50.66,46.46,38.18,29.41,22.81,48.48,10.46,1.56,1.08,2.3,1.86
2010,semi-finals,Nashville Predators,50.69,56.23,36.52,41.84,23.24,28.78,50,11.48,0.89,1.11,1.9,2.21
2010,semi-finals,Chicago Blackhawks,55.12,53.78,42.62,38.72,28.56,24.99,52.78,11.66,1.56,1.45,2.34,2.08
2010,semi-finals,Los Angeles Kings,49.51,61.37,36.82,45.77,22.88,27.46,21.05,6.06,0.83,1.25,1.76,2.05
2010,semi-finals,Vancouver Canucks,59.23,51.66,43.45,39.99,27.13,25.51,60.98,17.36,1.62,1.41,2.15,2.1
2010,semi-finals,Detroit Red Wings,61.09,53.82,46.66,42.09,26.15,25.09,52.63,14.6,1.64,1.76,2.27,2.18
2010,semi-finals,Phoenix Coyotes,51.69,59.42,41.79,46.34,22.38,23.77,50,13.7,1.78,1.98,2.1,2.16
2010,finals,Montreal Canadiens,52.43,66.62,36.3,45.48,21.83,29.76,48.08,14.37,1.04,1.46,1.76,2.52
2010,finals,Washington Capitals,79.2,53.93,52.99,37.72,36.4,24.89,59.09,10.83,1.7,0.94,3.06,1.81
2010,finals,Philadelphia Flyers,50.61,56.85,34.63,39.77,24.83,24.83,62.22,15.38,1.66,1.11,2.11,2.1
2010,finals,New Jersey Devils,56.81,43.37,40.93,31.76,25.96,20.16,14.29,2.63,0.31,1.22,2.06,1.8
2010,finals,Boston Bruins,59.07,53.11,42.28,38.06,25.59,25.32,40,9.88,1.19,1.56,2.09,2.24
2010,finals,Buffalo Sabres,52.43,63,39.32,45.78,23.87,27,62.5,12.2,1.17,0.98,2.15,2.12
