"player","position","season","Team","GP","TOI_all","TOI_EV","TOI_PP","TOI_SH","EV_GAR","PP_GAR","SH_GAR","Pens_GAR","GAR","WAR"
"TYLER.KENNEDY","F","20152016","N.J",50,671.3,593.4,67.9,2.6,-1.5,0.1,0,-0.1,-1.5,-0.3
"TYLER.MYERS","D","20152016","WPG",73,1650.4,1289.4,165.4,152.6,2,-2.2,-2.1,-0.3,-2.6,-0.5
"TYLER.RANDELL","F","20152016","BOS",27,188.6,188,0.2,0,2.4,0,0,-0.5,1.9,0.4
"TYLER.SEGUIN","F","20152016","DAL",72,1398.2,1112.2,235.2,1.5,8.6,3.6,0,2.2,14.4,2.8
"TYLER.TOFFOLI","F","20152016","L.A",82,1410.5,1111.7,170.6,102.9,13.8,3.3,0.3,0.2,17.6,3.4
"TYLER.WOTHERSPOON","D","20152016","CGY",11,155.9,143,0.1,12.7,1.1,0,0,0.1,1.1,0.2
"TY.RATTIE","F","20152016","STL",13,120.7,118.8,1.6,0,2.3,0,0,-0.1,2.2,0.4
"TYSON.BARRIE","D","20152016","COL",78,1807.4,1467.3,239,39.2,4.7,2.2,-1.5,3.3,8.6,1.7
"VALERI.NICHUSHKIN","F","20152016","DAL",79,1100.4,1009.2,76.8,0.5,2.6,-0.6,0,1.5,3.4,0.7
"VALTTERI.FILPPULA","F","20152016","T.B",76,1387.5,1009.9,205.7,125.4,-1.9,-0.6,-0.4,-1.3,-4.2,-0.8
"VERNON.FIDDLER","F","20152016","DAL",82,950.5,735.2,23.7,177.8,2.6,0.6,-0.2,1.1,4.1,0.8
"VICTOR.BARTLEY","D","20152016","MTL",9,119.9,117.7,0.5,1.1,1.7,0,0,-0.3,1.3,0.3
"VICTOR.HEDMAN","D","20152016","T.B",78,1799.1,1379.1,195,156.5,12,0,-0.3,1.1,12.7,2.5
"VICTOR.RASK","F","20152016","CAR",80,1358.6,1099.3,207.2,15.4,4.1,3.9,-0.1,0,7.8,1.5
"VIKTOR.ARVIDSSON","F","20152016","NSH",56,693.5,666.5,18.8,4.6,0.5,-0.2,0.1,-0.4,-0.1,0
"VIKTOR.STALBERG","F","20152016","NYR",75,914.9,805.8,2.8,93.8,1.4,0,-0.2,0.8,2,0.4
"VIKTOR.SVEDBERG","D","20152016","CHI",27,425.3,392.6,6.7,24.4,-4.2,-0.1,-0.2,0.4,-4.1,-0.8
"VIKTOR.TIKHONOV","F","20152016","ARI",39,458.6,416.1,32.6,4.7,-1.6,-0.2,0,-0.3,-2,-0.4
"VIKTOR.TIKHONOV","F","20152016","CHI",11,113.1,111.4,1.6,0,-1.4,0,0,0.1,-1.4,-0.3
"VINCENT.LECAVALIER","F","20152016","L.A",42,582.6,477.9,73.2,22.6,0.7,1.1,-0.7,-0.8,0.2,0
"VINCENT.LECAVALIER","F","20152016","PHI",7,66.2,63.7,2.4,0,-1.2,0,0,-0.2,-1.4,-0.3
"VINCENT.TROCHECK","F","20152016","FLA",76,1348.2,1057.2,200.3,56.2,8.5,0.3,0.2,1.3,10.3,2
"VINNIE.HINOSTROZA","F","20152016","CHI",7,60.8,59.2,1,0,-0.5,0,0,0.2,-0.3,-0.1
"VLADIMIR.TARASENKO","F","20152016","STL",80,1490.7,1191,222,32.9,8.5,1.8,0,1.9,12.2,2.4
"VLADISLAV.NAMESTNIKOV","F","20152016","T.B",80,1129.2,964.8,142.1,2,11.8,-2.7,0,0.8,9.9,1.9
"VOJTECH.MOZIK","D","20152016","N.J",7,92.7,92.1,0.5,0,-0.1,0,0,0.1,0.1,0
"WAYNE.SIMMONDS","F","20152016","PHI",81,1396,1062.5,289.5,1,7.2,2,0,0.6,9.8,1.9
"WILLIAM.KARLSSON","F","20152016","CBJ",81,1170.9,968,21.4,170.8,2.7,-0.9,-1.3,1.4,2,0.4
"WILLIAM.NYLANDER","F","20152016","TOR",22,359.4,287.1,59.5,0.2,0.4,-1,0,1.1,0.4,0.1
"WILLIE.MITCHELL","D","20152016","FLA",46,914.1,747.9,5.1,144.3,-1.2,0,0,0.3,-0.9,-0.2
"XAVIER.OUELLET","D","20152016","DET",5,81.2,75.1,0,5.7,-1.2,0,0.1,-0.1,-1.2,-0.2
"YANNICK.WEBER","D","20152016","VAN",45,847.4,697.1,99.3,36,-0.2,1.4,0,-0.8,0.3,0.1
"ZACH.BOGOSIAN","D","20152016","BUF",64,1426.3,1201.5,94.6,89.4,2.3,0.2,0.3,1.5,4.3,0.8
"ZACH.HYMAN","F","20152016","TOR",16,251,212.7,4.4,25.9,1,-0.1,0.5,0.9,2.4,0.5
"ZACH.PARISE","F","20152016","MIN",70,1349.3,1026.5,233.1,18.6,-1.5,0.3,0,0.9,-0.2,0
"ZACH.REDMOND","D","20152016","COL",37,435.8,424.3,2.2,8.5,1.4,0,0.2,0.1,1.7,0.3
"ZACH.SILL","F","20152016","WSH",10,99.3,90.7,0.6,7.3,0.4,0,0,0.2,0.5,0.1
"ZACH.TROTMAN","D","20152016","BOS",38,705.1,620.8,11.5,65.7,1.6,-0.1,0.8,-0.5,1.9,0.4
"ZACK.KASSIAN","F","20152016","EDM",36,447.9,424.2,8.3,6.5,-2.4,-0.1,0.1,-1.6,-3.9,-0.8
"ZACK.SMITH","F","20152016","OTT",81,1244.5,970.9,126.1,100.9,4.4,-1.2,-0.5,1,3.7,0.7
"ZAC.RINALDO","F","20152016","BOS",52,431.4,418.3,1.4,9.3,-1.2,0,0.1,-0.9,-2,-0.4
"ZBYNEK.MICHALEK","D","20152016","ARI",70,1191.1,960.7,2.5,216.3,4.1,0.1,2.7,1.2,8.1,1.6
"ZDENO.CHARA","D","20152016","BOS",80,1927.7,1497,123.7,264.3,9,1.7,-0.6,-0.1,10,2
"ZEMGUS.GIRGENSONS","F","20152016","BUF",71,1067.6,908,58.8,73.2,2.4,-0.4,-1.8,3.8,4,0.8
