"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"DYLAN.REESE","D","20112012","NYI",28,451.78,0.13,0.27,0.53,0.93,3.32,5.45,8.37,0.15,4,2.44,2.68,3.19,2.92,4.91,1.59,1.46,0.4,0.13,0.13,0.13,0,0,0
"ED.JOVANOVSKI","D","20112012","FLA",66,881.62,0.14,0.27,0.2,0.61,3.33,4.63,6.94,0.09,4.08,2.94,2.04,4.42,4.22,5.99,2.25,0.88,0.75,0.61,0,0,0,0,0
"ERIC.BELANGER","F","20112012","EDM",78,859.48,0.14,0.28,0.28,0.7,6.56,9.15,12.08,0.52,2.13,1.53,5.74,2.02,2.51,2.65,2.23,2.3,0.77,0.63,0,0,433,325,108
"ERIC.BOULTON","F","20112012","N.J",51,332.38,0,0,0,0,4.33,5.42,6.68,0.3,0,0,5.6,1.81,15.89,6.68,1.08,0.18,2.35,1.44,1.44,1.44,1,2,-1
"ERIC.BREWER","D","20112012","T.B",82,1524.3,0.04,0.24,0.31,0.59,2.99,4.76,7.64,0.13,1.32,0.83,2.73,5.35,6.85,3.74,1.14,0.87,0.51,0.08,0.04,0.04,0,0,0
"ERIC.FEHR","F","20112012","WPG",35,323.1,0.37,0,0.19,0.56,9.29,12.44,15.78,0.79,4,2.99,6.34,2.41,4.09,4.46,0.74,1.11,0.93,0.56,0,0,0,0,0
"ERIC.NYSTROM","F","20112012","DAL",74,895.62,1,0.2,0.13,1.34,6.43,9.04,11.72,0.63,15.62,11.11,7.01,2.08,11.59,6.3,1.41,1.14,0.4,0.54,0.13,0.13,8,12,-4
"ERIC.STAAL","F","20112012","CAR",82,1305.97,0.55,0.92,0.32,1.79,8.18,11.53,15.34,0.79,6.74,4.78,6.82,1.24,2.16,3.31,1.52,2.48,0.74,0.96,0,0,656,587,69
"ERIC.TANGRADI","F","20112012","PIT",24,194.87,0,0.31,0.31,0.62,5.54,8.93,11.7,0.61,0,0,6.86,2.16,12.62,9.54,0.62,1.54,0.92,0.31,0.62,0.62,0,1,-1
"ERIC.WELLWOOD","F","20112012","PHI",24,224.95,1.33,0.53,0.27,2.13,7.74,11.74,13.87,0.8,17.24,11.36,6.8,2.4,4.27,8,1.07,2.13,0.27,0.53,0,0,17,17,0
